StateName,state_id,DistrictName,DISTRICT_ID,TotalNoOfApplication,TotalNoOf_Micro,TotalNoOf_Small,TotalNoOf_Medium,CreatedDate
"ANDHRA PRADESH",28,ANANTHAPUR,520,3770,2684,1052,34,2019-08-02T08:28:48.800
"ANDHRA PRADESH",28,CHITOOR,511,3924,2592,1270,62,2019-08-02T08:28:48.800
"ANDHRA PRADESH",28,"EAST GODAVARI",512,10044,8686,1311,47,2019-08-02T08:28:48.800
"ANDHRA PRADESH",28,GUNTUR,509,6061,3835,2192,34,2019-08-02T08:28:48.800
"ANDHRA PRADESH",28,KRISHNA,517,6507,4436,2017,54,2019-08-02T08:28:48.800
"ANDHRA PRADESH",28,KURNOOL,506,3077,2396,660,21,2019-08-02T08:28:48.800
"ANDHRA PRADESH",28,PRAKASAM,510,10709,8922,1764,23,2019-08-02T08:28:48.800
"ANDHRA PRADESH",28,"SPSR NELLORE",518,3740,3034,683,23,2019-08-02T08:28:48.800
"ANDHRA PRADESH",28,SRIKAKULAM,522,6352,5590,755,7,2019-08-02T08:28:48.800
"ANDHRA PRADESH",28,VISAKHAPATNAM,519,7627,5780,1774,73,2019-08-02T08:28:48.800
