StateName,state_id,DistrictName,DISTRICT_ID,TotalNoOfApplication,TotalNoOf_Micro,TotalNoOf_Small,TotalNoOf_Medium,CreatedDate
"ANDHRA PRADESH",28,ANANTHAPUR,520,3757,2675,1048,34,2019-07-30T08:29:01.937
"ANDHRA PRADESH",28,CHITOOR,511,3905,2578,1266,61,2019-07-30T08:29:01.937
"ANDHRA PRADESH",28,"EAST GODAVARI",512,10018,8662,1310,46,2019-07-30T08:29:01.937
"ANDHRA PRADESH",28,GUNTUR,509,6034,3816,2184,34,2019-07-30T08:29:01.937
"ANDHRA PRADESH",28,KRISHNA,517,6493,4426,2013,54,2019-07-30T08:29:01.937
"ANDHRA PRADESH",28,KURNOOL,506,3061,2384,656,21,2019-07-30T08:29:01.937
"ANDHRA PRADESH",28,PRAKASAM,510,10703,8917,1763,23,2019-07-30T08:29:01.937
"ANDHRA PRADESH",28,"SPSR NELLORE",518,3735,3030,682,23,2019-07-30T08:29:01.937
"ANDHRA PRADESH",28,SRIKAKULAM,522,6349,5589,753,7,2019-07-30T08:29:01.937
"ANDHRA PRADESH",28,VISAKHAPATNAM,519,7614,5774,1767,73,2019-07-30T08:29:01.937
